scenario,aggregation,attack_enabled,round,num_clients,num_malicious,attack_strength,local_train_loss,aggregation_time_sec,test_loss,test_accuracy,predicted_positive_rate,clean_fedavg_accuracy,accuracy_drop,attack_success_rate
E_TrimmedMean_LabelFlip,trimmed_mean,True,5,10,2,8.0,0.49050335866212846,0.034912000002805144,0.3417816758155823,0.879,0.0025,0.879,0.0,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,6,10,2,8.0,0.4877781141996384,0.04071420000400394,0.33386796712875366,0.879,0.0055,0.8785,-0.000500000000000056,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,7,10,2,8.0,0.49096841663122176,0.04877850000048056,0.34029242396354675,0.88,0.0015,0.879,-0.0010000000000000009,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,8,10,2,8.0,0.49750048303604133,0.044841000009910204,0.3331978917121887,0.8795,0.005,0.879,-0.0004999999999999449,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,9,10,2,8.0,0.48706798183918,0.043200600004638545,0.33580484986305237,0.879,0.0025,0.8795,0.0004999999999999449,0.0004999999999999449
E_TrimmedMean_LabelFlip,trimmed_mean,True,10,10,2,8.0,0.4952712463140488,0.031531300002825446,0.33177852630615234,0.881,0.0055,0.8795,-0.0015000000000000568,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,11,10,2,8.0,0.4954400746822357,0.0387163999985205,0.3336242735385895,0.8805,0.005,0.8795,-0.0010000000000000009,0.0
E_TrimmedMean_LabelFlip,trimmed_mean,True,12,10,2,8.0,0.49305595421791076,0.03909879999991972,0.3310758173465729,0.88,0.0055,0.881,0.0010000000000000009,0.0010000000000000009
E_TrimmedMean_LabelFlip,trimmed_mean,True,13,10,2,8.0,0.5032581438720227,0.047527499991701916,0.330933541059494,0.8785,0.009,0.88,0.0015000000000000568,0.0015000000000000568
E_TrimmedMean_LabelFlip,trimmed_mean,True,14,10,2,8.0,0.49222132223844534,0.0357469000009587,0.334802508354187,0.8795,0.004,0.8805,0.0010000000000000009,0.0010000000000000009
E_TrimmedMean_LabelFlip,trimmed_mean,True,15,10,2,8.0,0.4923998255133629,0.026717999993707053,0.3320794105529785,0.879,0.0095,0.88,0.0010000000000000009,0.0010000000000000009
E_TrimmedMean_LabelFlip,trimmed_mean,True,16,10,2,8.0,0.4926671002507209,0.03426620000391267,0.33326759934425354,0.8795,0.007,0.88,0.000500000000000056,0.000500000000000056
E_TrimmedMean_LabelFlip,trimmed_mean,True,17,10,2,8.0,0.49715275037288664,0.03331100000650622,0.33188697695732117,0.8785,0.01,0.8805,0.0020000000000000018,0.0020000000000000018
E_TrimmedMean_LabelFlip,trimmed_mean,True,18,10,2,8.0,0.4943265722990036,0.027462899990496226,0.3348320722579956,0.8785,0.007,0.881,0.0025000000000000577,0.0025000000000000577
E_TrimmedMean_LabelFlip,trimmed_mean,True,19,10,2,8.0,0.4891604453921318,0.0335132999898633,0.3356897830963135,0.877,0.0125,0.8795,0.0024999999999999467,0.0024999999999999467
E_TrimmedMean_LabelFlip,trimmed_mean,True,20,10,2,8.0,0.49366647911071776,0.03011310000147205,0.33245980739593506,0.8795,0.011,0.8805,0.0010000000000000009,0.0010000000000000009
